artistID,Artist,Songs,Popularity,Link,Genre,Genres
45,Billy Burnette,46,0,/billy-burnette/,Rock,Rock; Rockabilly
46,Biosystem 55,4,0,/biosystem-55/,Rock,Rock; Rock Alternativo
47,Biquini Cavadão,162,3.4,/biquini-cavadao/,Rock,Rock; Pop/Rock; Romântico; Punk Rock; New Wave; Pós-Punk; Indie; MPB
48,Black Veil Brides,84,0.6,/black-veil-brides/,Rock,Rock; Hard Rock; Emocore; Heavy Metal; Hardcore; Gótico; Metal; Romântico; Samba; Funk Carioca; Punk Rock; Rock Alternativo; Infantil; Indie; World Music; Ska; Blues; Funk; Psicodelia; Forró
49,Bleach,72,0,/bleach/,Rock,Rock; Hard Rock; Dance; Disco; Hardcore; Heavy Metal; Punk Rock
50,Bleck a Bamba,2,0,/bleck-a-bamba/,Hip Hop,Hip Hop; Funk; Reggae; MPB; Soul Music; Black Music; Rock
51,Blowdrivers,4,0,/blowdrivers/,Rock,Rock; Rock Alternativo
52,Blur,178,0.6,/blur/,Rock,Rock; Rock Alternativo; Indie; Pop/Rock; Hard Rock; Folk
53,Box-47,29,0,/box-47/,Rock,Rock; Hardcore
54,Breaking Benjamin,82,0.9,/breaking-benjamin/,Rock,Rock; Hard Rock; Rock Alternativo; Heavy Metal; Gospel/Religioso; Grunge; Metal; Kizomba; Electro Swing; Progressivo; Gótico; Punk Rock; Hardcore
55,Bring Me The Horizon,91,4.2,/bring-me-the-horizon/,Rock,Rock; Hardcore; Heavy Metal; Hard Rock; Emocore; Metal; Rock Alternativo; Axé; Punk Rock; Gótico; Folk; Funk; Pop/Rock; Chillout; Kizomba; Samba Enredo; Psicodelia; Dance; Reggae; Samba; Romântico; Grunge; Clássico; Sertanejo; Bossa Nova; Indie
56,Bruce Springsteen,480,4.1,/bruce-springsteen/,Rock,Rock; Pop/Rock; Country; Blues; Rock Alternativo; Axé; Romântico; Hard Rock; World Music; MPB; Reggae; Classic Rock; Pagode; Sertanejo; Samba; Dance; Folk
57,Buddy Holly,56,0.2,/buddy-holly/,Rock,Rock; Rockabilly; Country; Folk; Pop/Rock; Instrumental; Pop; Velha Guarda; New Wave
58,Buffalo Springfield,38,0.2,/buffalo-springfield/,Rock,Rock; Folk; Hard Rock
59,Bula,15,0,/bula/,Rock,Rock; Pop/Rock
60,Bumblefoot,74,0,/bumblefoot/,Rock,Rock; Heavy Metal; Hard Rock
61,Bush,120,0.6,/bush/,Rock,Rock; Grunge; Rock Alternativo; Pós-Punk; Romântico; Punk Rock
62,Cachorro Grande,100,0.4,/cachorro-grande/,Rock,Rock; Indie; Rock Alternativo; Hard Rock; Romântico; Clássico; Psicodelia; Blues; Axé
63,Cambio Negro Hc,4,0,/cambio-negro-hc/,Rock,Rock; Hardcore; Punk Rock
64,Camisa de Vênus,95,0.6,/camisa-de-venus/,Rock,Rock; Punk Rock; Rock Alternativo; Rockabilly; Pós-Punk; Pop/Rock
65,Camp Rock,29,1.6,/camp-rock/,Pop,Pop; Trilha Sonora; Rock; Pop/Rock; Dance; Romântico; Instrumental; J-Pop/J-Rock; Axé; Hip Hop; Electronica; Rock Alternativo; Infantil; Jazz; Black Music; Hard Rock; Funk; Pop/Punk; Jovem Guarda; Gospel/Religioso; R&B; Indie; Blues; Gótico; Folk; Trance; Velha Guarda; K-Pop/K-Rock; House; Piano Rock; Punk Rock; Post-Rock; Disco; Heavy Metal; Rockabilly; Bossa Nova; Sertanejo; Country; Reggae; Emocore; Funk Carioca; Clássico
66,Carbona,125,0.1,/carbona/,Rock,Rock; Punk Rock; Pop/Punk; Hardcore; Hard Rock
67,Carioca,2,0,/carioca/,Rock,Rock; Rap
68,Cascadura,76,0,/dr-cascadura/,Rock,Rock
